Percent Change,High Percent,Low Percent,Day,Month,Year,DayOfWeek,Y
1.07808954,1.022294517,0.971677351,28,3,1,1,0.999330208
0.999330208,1.013692072,0.965434699,29,3,1,2,0.997606281
0.997606281,1.010365678,0.979844515,30,3,1,3,0.99616086
0.99616086,1.048463243,0.997398593,31,3,1,4,1.039695539
1.039695539,1.022796775,0.989250301,1,4,1,5,1.006486887
1.006486887,1.021544977,0.989043366,2,4,1,6,1.010404199
1.010404199,1.055130308,0.998359759,3,4,1,0,1.045744487
1.045744487,1.011850819,0.977866853,4,4,1,1,0.994945974
0.994945974,1.00175162,0.972236819,5,4,1,2,0.98957786
0.98957786,1.063456943,1.00053102,6,4,1,3,1.052040004
1.052040004,1.010515689,0.986960545,7,4,1,4,1.001514259
1.001514259,1.006467871,0.9800084,8,4,1,5,0.991852163
0.991852163,1.029048103,0.994241192,9,4,1,6,1.019901762
1.019901762,1.008801794,0.9921116,10,4,1,0,1.001992859
1.001992859,1.018977376,0.9909671,11,4,1,1,1.011601889
1.011601889,1.00393217,0.989104612,12,4,1,2,0.993282543
0.993282543,1.005113402,0.948701031,13,4,1,3,0.970061856
0.970061856,1.016323754,0.988097262,14,4,1,4,1.000935215
1.000935215,1.014864521,0.714771086,15,4,1,5,0.99974518
0.99974518,1.009345794,0.991248938,16,4,1,6,0.999830076
0.999830076,1.022263766,0.996600952,17,4,1,0,1.014615908
1.014615908,1.016666667,0.997571189,18,4,1,1,1.010134003
1.010134003,1.010032336,0.990050576,19,4,1,2,1.00754498
1.00754498,1.025839368,0.996296906,20,4,1,3,1.018844635
1.018844635,1.015265326,0.997980777,21,4,1,4,1.009288426
1.009288426,1.005921895,0.972951344,22,4,1,5,0.993037772
0.993037772,1.012329761,0.985655573,23,4,1,6,1.006608107
1.006608107,1.005844208,0.988631815,24,4,1,0,0.999279481
0.999279481,1.019548149,0.996795385,25,4,1,1,1.012898574
1.012898574,1.035513723,0.998971763,26,4,1,2,1.017638219
1.017638219,1.046789989,0.998989585,27,4,1,3,1.035986321
1.035986321,1.017480681,0.966013955,28,4,1,4,0.997524195
0.997524195,1.010604693,0.988417569,29,4,1,5,1.00503911
1.00503911,1.01691237,0.98009429,30,4,1,6,1.011674025
1.011674025,1.071602929,0.993268733,1,5,1,0,1.04726681
1.04726681,1.039059189,0.985167397,2,5,1,1,1.021260065
1.021260065,1.034926343,0.984922885,3,5,1,2,1.027456947
1.027456947,1.083602585,0.967353258,4,5,1,3,1.021001616
1.021001616,1.047006857,0.97903481,5,5,1,4,0.994066456
0.994066456,1.034885263,0.99741345,6,5,1,5,1.024870673
1.024870673,1.01786061,0.967579111,7,5,1,6,1.005888824
1.005888824,1.072889861,0.999034997,8,5,1,0,1.070831189
1.070831189,1.055812556,0.973265245,9,5,1,1,1.019825774
1.019825774,1.040471281,0.980854197,10,5,1,2,1.032282769
1.032282769,1.064201335,0.993836672,11,5,1,3,1.038235462
1.038235462,1.001758918,0.902105205,12,5,1,4,0.926949926
0.926949926,1.049869545,0.945564516,13,5,1,5,1.045837287
1.045837287,1.022169303,0.98435108,14,5,1,6,1.00504621
1.00504621,1.002312987,0.934672233,15,5,1,0,0.964064087
0.964064087,1.025572005,0.96769852,16,5,1,1,1.011937504
1.011937504,1.065633493,0.985369803,17,5,1,2,1.041635344
1.041635344,1.099483706,0.994337423,18,5,1,3,1.044245822
1.044245822,1.047155768,0.996969697,19,5,1,4,1.043062201
1.043062201,1.044036697,0.991029562,20,5,1,5,1.039857288
1.039857288,1.026811097,0.970542104,21,5,1,6,1.001960592
1.001960592,1.107915077,0.977692985,22,5,1,0,1.039232952
1.039232952,1.076209753,0.993598192,23,5,1,1,1.069760874
1.069760874,1.09874153,0.995907771,24,5,1,2,1.075992256
1.075992256,1.137610927,0.903979062,25,5,1,3,0.943524312
0.943442522,1.134156914,0.889206762,26,5,1,4,0.973081925
0.973081925,1.034522696,0.832375607,27,5,1,5,0.914250078
0.914250078,1.120882869,0.999366595,28,5,1,6,1.066556227
1.066556227,1.067793513,0.967245317,29,5,1,0,1.040749201
1.040749201,1.022429989,0.942454569,30,5,1,1,0.962426477
0.962426477,1.062938977,0.988962875,31,5,1,2,1.050488005
1.050488005,1.06838015,1,1,6,1,3,1.047453653
1.047453653,1.033739534,0.988808754,2,6,1,4,1.033159247
1.033159247,1.036187114,0.982869293,3,6,1,5,1.021182701
1.021182701,1.005657264,0.973599434,4,6,1,6,0.991631964
0.991631964,1.071827582,0.999920764,5,6,1,0,1.07166911
1.07166911,1.083622921,0.998040665,6,6,1,1,1.061182994
1.061182994,1.003623062,0.915032224,7,6,1,2,0.937641526
0.937641526,1.04343303,0.974772432,8,6,1,3,1.039866246
1.039866246,1.019043876,0.995462341,9,6,1,4,1.004501929
1.004501929,1.036565412,0.998577221,10,6,1,5,1.031621256
1.031621256,1.026755853,0.988621867,11,6,1,6,1.025204289
1.025204289,1.003934889,0.835272752,12,6,1,0,0.893522567
0.893522567,1.04817826,0.996461909,13,6,1,1,1.021153267
1.021153267,1.033431626,0.865831183,14,6,1,2,0.909436049
0.909436049,1.022007863,0.861508532,15,6,1,3,0.989948527
0.989948527,1.038444217,0.956110542,16,6,1,4,1.027062436
1.027062436,1.072590289,0.978553775,17,6,1,5,1.058399107
1.058399107,1.007871643,0.937290498,18,6,1,6,0.956498814
0.956498814,1.030792251,0.991809734,19,6,1,0,1.030398488
1.030398488,1.070200245,0.998929991,20,6,1,1,1.052583308
1.052583308,1.018152774,0.952802788,21,6,1,2,0.97211734
0.97211734,1.029765462,0.979683298,22,6,1,3,1.016880789
1.016880789,1.013552226,0.991442633,23,6,1,4,0.995445865
0.995445865,1.011511216,0.93727863,24,6,1,5,0.955615407
0.955615407,1.027257635,0.954557739,25,6,1,6,0.981274854
0.981274854,1.016997167,0.915683034,26,6,1,0,0.962425244
0.962425244,1.05682515,0.944196885,27,6,1,1,1.056293692
1.056293692,1.012810589,0.963735583,28,6,1,2,0.997639136
0.997639136,1.010939985,0.980137332,29,6,1,3,0.992512705
0.992512705,1.00699656,0.96525172,30,6,1,4,0.969590369
0.969590369,1.019753285,0.962468758,1,7,1,5,0.977424817
0.977424817,1.053905799,0.979914213,2,7,1,6,1.046151943
1.046151943,1.031933767,0.98809383,3,7,1,0,1.014192785
1.014192785,1.03350826,0.999028183,4,7,1,1,1.017414966
1.017414966,1.009704657,0.978871356,5,7,1,2,1.004049975
1.004049975,1.002625671,0.982457476,6,7,1,3,0.994786712
0.994786712,1.001262336,0.950462857,7,7,1,4,0.961632622
0.961632622,1.021798799,0.98675365,8,7,1,5,1.020287203
1.020287203,1.004600569,0.978439705,9,7,1,6,0.979141487
0.979141487,1.007525683,0.904595047,10,7,1,0,0.933343952
0.933343952,1.029351536,0.966510239,11,7,1,1,0.991595563
0.991595563,1.043238825,0.973239255,12,7,1,2,1.03390268
1.03390268,1.01398194,0.971661604,13,7,1,3,0.983063543
0.983063543,1.003428717,0.916610227,14,7,1,4,0.945733153
0.945733153,1.001298004,0.883537732,15,7,1,5,0.884030078
0.884030078,1.035086831,0.915902992,16,7,1,6,0.969115488
0.969115488,1.167023666,0.999843268,17,7,1,0,1.166814691
1.166814691,1.074908212,0.969194949,18,7,1,1,1.038864512
1.038864512,1.039737954,0.966770106,19,7,1,2,0.9837945
0.9837945,1.284850609,0.999780952,20,7,1,3,1.255585736
1.255585736,1.002791347,0.915038381,21,7,1,4,0.933391486
0.933391486,1.075361669,0.993832006,22,7,1,5,1.060334193
1.060334193,1.007121452,0.943275163,23,7,1,6,0.971831482
0.971831482,1.01534499,0.985162882,24,7,1,0,1.002466807
1.002466807,1.005681407,0.894767316,25,7,1,1,0.934573352
0.934573352,1.019011849,0.945365136,26,7,1,2,0.990939363
0.990939363,1.060057831,0.995506408,27,7,1,3,1.051852141
