Price,Open,High,Low,Vol.,Day,Month,Year,DayOfWeek,
"1,055.50","1,049.60","1,069.20","1,020.30",65.15,8,2,2017,2,"1,055.50"
979,"1,055.50","1,073.00",924.7,146.75,9,2,2017,3,979
997.6,979,"1,005.60",947,62.13,10,2,2017,4,997.6
"1,008.30",997.6,"1,014.30",983.9,28.32,11,2,2017,5,"1,008.30"
996.5,"1,008.30","1,007.80",992.5,14.75,12,2,2017,6,996.5
995.4,996.5,"1,007.60",975.1,32.91,13,2,2017,0,995.4
"1,008.30",995.4,"1,013.80",986.5,39.54,14,2,2017,1,"1,008.30"
"1,008.20","1,008.30","1,010.90",999.7,23.36,15,2,2017,2,"1,008.20"
"1,031.90","1,008.20","1,040.30","1,007.40",38.08,16,2,2017,3,"1,031.90"
"1,049.40","1,031.90","1,057.40","1,025.90",45.71,17,2,2017,4,"1,049.40"
"1,052.30","1,049.40","1,063.20","1,044.70",25.36,18,2,2017,5,"1,052.30"
"1,048.90","1,052.30","1,056.50","1,037.70",17.95,19,2,2017,6,"1,048.90"
"1,077.60","1,048.90","1,081.80","1,041.00",31.01,20,2,2017,0,"1,077.60"
"1,119.00","1,077.60","1,123.00","1,073.50",57.05,21,2,2017,1,"1,119.00"
"1,120.50","1,119.00","1,132.30","1,094.80",47.91,22,2,2017,2,"1,120.50"
"1,171.90","1,120.50","1,181.60","1,113.50",65.74,23,2,2017,3,"1,171.90"
"1,176.50","1,171.90","1,211.70","1,092.40",108.17,24,2,2017,4,"1,176.50"
"1,149.10","1,176.50","1,180.00","1,116.20",45.86,25,2,2017,5,"1,149.10"
"1,171.60","1,149.10","1,177.50","1,130.60",30.77,26,2,2017,6,"1,171.60"
"1,188.80","1,171.60","1,195.80","1,164.30",35.47,27,2,2017,0,"1,188.80"
"1,189.30","1,188.80","1,208.20","1,175.80",50.58,28,2,2017,1,"1,189.30"
"1,222.70","1,189.30","1,225.00","1,154.60",51.15,1,3,2017,2,"1,222.70"
"1,255.50","1,222.70","1,287.00","1,212.00",78.49,2,3,2017,3,"1,255.50"
"1,283.30","1,255.50","1,291.30","1,250.80",67.28,3,3,2017,4,"1,283.30"
"1,264.30","1,283.30","1,285.80","1,228.70",38.42,4,3,2017,5,"1,264.30"
"1,271.20","1,264.30","1,273.30","1,242.10",25.43,5,3,2017,6,"1,271.20"
"1,277.00","1,271.20","1,280.60","1,261.00",31.03,6,3,2017,0,"1,277.00"
"1,232.70","1,277.00","1,280.90","1,148.70",87.72,7,3,2017,1,"1,232.70"
"1,147.00","1,232.70","1,242.00","1,136.90",97.88,8,3,2017,2,"1,147.00"
"1,191.30","1,147.00","1,207.00","1,129.30",59.86,9,3,2017,3,"1,191.30"
"1,112.40","1,191.30","1,330.40",988.7,190.47,10,3,2017,4,"1,112.40"
"1,179.20","1,112.40","1,202.70","1,104.80",70.75,11,3,2017,5,"1,179.20"
"1,225.10","1,179.20","1,235.50","1,160.90",44.41,12,3,2017,6,"1,225.10"
"1,238.20","1,225.10","1,245.60","1,205.60",60.46,13,3,2017,0,"1,238.20"
"1,243.10","1,238.20","1,255.50","1,218.40",45.14,14,3,2017,1,"1,243.10"
"1,253.40","1,243.10","1,256.90","1,236.40",43.59,15,3,2017,2,"1,253.40"
"1,172.90","1,253.40","1,260.20","1,119.00",132.77,16,3,2017,3,"1,172.90"
"1,071.70","1,172.90","1,174.90","1,063.50",163.74,17,3,2017,4,"1,071.70"
971.4,"1,071.70","1,103.60",940.2,210.42,18,3,2017,5,971.4
"1,022.60",971.4,"1,063.70",967.3,106.45,19,3,2017,6,"1,022.60"
"1,047.50","1,022.60","1,057.50","1,005.00",61.43,20,3,2017,0,"1,047.50"
"1,121.30","1,047.50","1,125.50","1,043.90",92.59,21,3,2017,1,"1,121.30"
"1,044.70","1,121.30","1,121.90",997.8,115.29,22,3,2017,2,"1,044.70"
"1,035.00","1,044.70","1,062.80","1,022.00",56.52,23,3,2017,3,"1,035.00"
939.7,"1,035.00","1,038.40",927.3,132.6,24,3,2017,4,939.7
966.3,939.7,996,890.4,127.05,25,3,2017,5,966.3
969.4,966.3,"1,004.30",946.7,85.33,26,3,2017,6,969.4
"1,045.10",969.4,"1,048.80",961.8,91.26,27,3,2017,0,"1,045.10"
"1,044.40","1,045.10","1,068.40","1,015.50",80,28,3,2017,1,"1,044.40"
"1,041.90","1,044.40","1,058.70","1,008.30",68.85,29,3,2017,2,"1,041.90"
"1,037.90","1,041.90","1,052.70","1,020.90",74.99,30,3,2017,3,"1,037.90"
"1,079.10","1,037.90","1,088.20","1,035.20",90.99,31,3,2017,4,"1,079.10"
"1,086.10","1,079.10","1,103.70","1,067.50",50.66,1,4,2017,5,"1,086.10"
"1,097.40","1,086.10","1,109.50","1,074.20",70.98,2,4,2017,6,"1,097.40"
"1,147.60","1,097.40","1,157.90","1,095.60",98.5,3,4,2017,0,"1,147.60"
"1,141.80","1,147.60","1,161.20","1,122.20",71,4,4,2017,1,"1,141.80"
"1,129.90","1,141.80","1,143.80","1,110.10",69.47,5,4,2017,2,"1,129.90"
"1,188.70","1,129.90","1,201.60","1,130.50",92.36,6,4,2017,3,"1,188.70"
"1,190.50","1,188.70","1,201.20","1,173.20",59.75,7,4,2017,4,"1,190.50"
"1,180.80","1,190.50","1,198.20","1,166.70",33.18,8,4,2017,5,"1,180.80"
"1,204.30","1,180.80","1,215.10","1,174.00",45.35,9,4,2017,6,"1,204.30"
"1,206.70","1,204.30","1,214.90","1,194.80",40.01,10,4,2017,0,"1,206.70"
"1,220.70","1,206.70","1,229.60","1,195.80",37.4,11,4,2017,1,"1,220.70"
"1,212.50","1,220.70","1,225.50","1,207.40",44.78,12,4,2017,2,"1,212.50"
"1,176.20","1,212.50","1,218.70","1,150.30",66.05,13,4,2017,3,"1,176.20"
"1,177.30","1,176.20","1,195.40","1,162.20",47.22,14,4,2017,4,"1,177.30"
"1,177.00","1,177.30","1,194.80",841.5,28.39,15,4,2017,5,"1,177.00"
"1,176.80","1,177.00","1,188.00","1,166.70",18.93,16,4,2017,6,"1,176.80"
"1,194.00","1,176.80","1,203.00","1,172.80",46.48,17,4,2017,0,"1,194.00"
"1,206.10","1,194.00","1,213.90","1,191.10",52.75,18,4,2017,1,"1,206.10"
"1,215.20","1,206.10","1,218.20","1,194.10",43.35,19,4,2017,2,"1,215.20"
"1,238.10","1,215.20","1,246.60","1,210.70",55.2,20,4,2017,3,"1,238.10"
"1,249.60","1,238.10","1,257.00","1,235.60",41.34,21,4,2017,4,"1,249.60"
"1,240.90","1,249.60","1,257.00","1,215.80",43.82,22,4,2017,5,"1,240.90"
"1,249.10","1,240.90","1,256.20","1,223.10",42.61,23,4,2017,6,"1,249.10"
"1,248.20","1,249.10","1,256.40","1,234.90",38.54,24,4,2017,0,"1,248.20"
"1,264.30","1,248.20","1,272.60","1,244.20",43.89,25,4,2017,1,"1,264.30"
"1,286.60","1,264.30","1,309.20","1,263.00",58.91,26,4,2017,2,"1,286.60"
"1,332.90","1,286.60","1,346.80","1,285.30",61.77,27,4,2017,3,"1,332.90"
"1,329.60","1,332.90","1,356.20","1,287.60",77.57,28,4,2017,4,"1,329.60"
"1,336.30","1,329.60","1,343.70","1,314.20",40.97,29,4,2017,5,"1,336.30"
"1,351.90","1,336.30","1,358.90","1,309.70",40.64,30,4,2017,6,"1,351.90"
